Country,Refugees,IDPs
Philippines,142,16905
Ivory Coast,4025,24000
Zimbabwe,4678,57926
Libya,7797,59425
Burundi,44034,78948
Sri Lanka,122,80216
Chad,418451,90000
Bosnia and Herzegovina,6927,103368
Kyrgyzstan,4994,172000
Central African Republic,17732,206000
Georgia,681,282130
Yemen,240371,306791
Mali,14425,353455
South Sudan,223636,401433
Afghanistan,16866,574327
Azerbaijan,1495,600336
Myanmar,,632000
Pakistan,1621525,975478
Iraq,188555,993188
Somalia,2339,1122559
Sudan,155910,1873300
Democratic Republic of the Congo,183244,2607407
Syria,149709,4254500
Colombia,223,4744096
British Virgin Islands,1,
Palau,2,
Saint Lucia,2,
Turcs and Caicos Islands,2,
Vanuatu,2,
Cayman Islands,3,
Singapore,3,
Sint Maarten (Dutch part),3,
Tonga,3,
Fiji,5,
Madagascar,9,
Mongolia,9,
Guyana,10,
Curaçao,13,
Honduras,16,
Trinidad and Tobago,18,
Jamaica,19,
Belize,25,
Lesotho,34,
Bahamas,36,
Monaco,37,
El Salvador,43,
Turkmenistan,46,
Estonia,65,
Iceland,67,
Cambodia,69,
Albania,86,
Liechtenstein,105,
Qatar,113,
Paraguay,133,
Oman,134,
Uzbekistan,141,
Latvia,150,
Guatemala,161,
Nicaragua,172,
Uruguay,180,
Slovenia,187,
Moldova,214,
Bahrain,296,
Cuba,369,
Portugal,483,
South Korea,502,
Swaziland,505,
Kuwait,534,
Saudi Arabia,565,
Kazakhstan,566,
Belarus,572,
United Arab Emirates,642,
Slovakia,662,
Croatia,703,
Dominican Republic,714,
Bolivia,739,
Morocco,874,
Lithuania,896,
Tunisia,940,
Macedonia,1069,
Peru,1126,
Romania,1262,
New Zealand,1517,
Gabon,1610,
Mexico,1688,
Namibia,1711,
Chile,1719,
Nigeria,1849,
Indonesia,2078,
Greece,2100,
Bulgaria,2288,
Tajikistan,2380,
Japan,2615,
Botswana,2799,
Ukraine,2844,
Luxembourg,2910,
Czech Republic,2939,
Armenia,3135,
Russia,3309,
Eritrea,3457,
Argentina,3604,
Cyprus,3696,
Hungary,4054,
Sierra Leone,4154,
Brazil,4296,
Mozambique,4413,
Spain,4510,
Benin,5138,
Ireland,6327,
Malawi,6369,
Guinea-Bissau,7787,
Malta,8248,
Papua New Guinea,9383,
Gambia,9603,
Finland,9919,
Montenegro,10133,
Guinea,10466,
Denmark,11814,
Senegal,14242,
Poland,15911,
Ghana,16155,
Panama,17467,
Djibouti,19888,
Costa Rica,21072,
Belgium,22024,
Angola,23718,
Togo,23725,
Zambia,26928,
Australia,30083,
Norway,42822,
Israel,48325,
Niger,50424,
Burkina Faso,50518,
Switzerland,51183,
Nepal,51232,
Austria,51730,
Kosovo,57076,
Liberia,58852,
Italy,64779,
South Africa,65233,
Republic of Congo,66189,
Netherlands,71909,
Rwanda,72856,
Thailand,82460,
Malaysia,91398,
Sweden,92872,
Algeria,94140,
United Republic of Tanzania,101946,
Mauritania,102098,
Cameroon,105462,
Ecuador,123485,
United Kingdom,149799,
Canada,163756,
Germany,168512,
Egypt,183398,
India,187024,
Uganda,192611,
Venezuela,203974,
France,221869,
Bangladesh,231138,
United States of America,262023,
China,301068,
Ethiopia,407646,
Turkey,511936,
Kenya,550506,
Lebanon,577212,
Jordan,613104,
Iran,862790,
Antigua and Barbuda,,
Aruba,,
Barbados,,
Bonaire,,
Brunei Darussalam,,
Comoros,,
Dominica,,
Equatorial Guinea,,
Grenada,,
Haiti,,
Laos,,
Mauritius,,
Micronesia (Federated States of),,
Montserrat,,
Nauru,,
Saint Kitts and Nevis,,
Saint Vincent and the Grenadines,,
Sao Tome and Principe,,
Solomon Islands,,
State of Palestine,,
Suriname,,
Timor-Leste,,
Vietnam,,
